CONTENT_TITLE	RATING	CONTENT_TYPE	RELEASE_YEAR	CID	PARENT_CID	STUDIO_NAME	POSTER_URL	SYNOPSIS
#AbortionRules	NR	EPISODE	2016	urn:dece:cid:eidr-s:ED64-3615-B143-59B9-0B5D-K	urn:dece:cid:eidr-s:25C2-4556-E304-39EA-2014-H	Warner Bros. Entertainment	https://g.prod.uvvu.com/artwork/3a20e4606827c7e7e05314345a0ae5d1	"Debbie's determined to keep her baby. Fiona's determined to persuade her to abort. Trying to prove Fiona wrong about her ability to raise a child, Debbie carries a bag of flour around all day while going to school, but quickly realizes people are not as accommodating to mothers and babies as she hoped."
#THINMAN	NR	EPISODE	2013	urn:dece:cid:eidr-s:4B67-52F3-4CDD-1102-C0B4-L	urn:dece:cid:eidr-s:38F2-60D0-7A1A-C790-9F4B-4	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/01000532C20301F3E0505A0A15341092	"While investigating a teenage girl murdered by a ghost, Sam and Dean encounter another team already on the case? the Ghostfacers! (TRAVIS WESTER and A.J. BUCKLEY)."
$#!and Happens	NR	EPISODE	2014	urn:dece:cid:eidr-s:D862-2A1D-718B-7ED5-5756-9	urn:dece:cid:eidr-s:CF7E-E88B-2464-5F45-6441-1	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FED1F7F7E997494CE0405B0A1634451D	"Rushing to escape Austin, a wounded Miles is separated from the group and must fight for survival. Meanwhile, Charlie is confronted by Neville in the aftermath of Jason's death."
.exe	NR	EPISODE	2016	urn:dece:cid:eidr-s:B23E-7353-C8C9-96C5-A2CA-D	urn:dece:cid:eidr-s:2A89-0730-483A-5DDA-2AE4-X	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/34F4A51197122AEBE05314345B0ADA2F	"As Reese and Shaw race to catch up with Finch, he infiltrates a maximum security government facility in a desperate mission which could mean the end for not only Samaritan, but for himself and The Machine as well."
/	NR	EPISODE	2014	urn:dece:cid:eidr-s:AB90-30AF-BF82-8427-0254-G	urn:dece:cid:eidr-s:9C5F-4F18-DB1B-ACE9-EB8B-4	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/012C279F7D45229AE0505A0A1434790A	"The Machine assigns Root to seek out a janitor with a mysterious past, but when her very presence puts his life in danger, Finch also receives his number."
"10,000 B.C."	PG-13	FEATURE	2008	urn:dece:cid:org:WB:2042035x6000035194		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/ECBA111A968793F0E0405A0A153420BA	
11.22.63: Complete Series		SEASON	2016	urn:dece:cid:eidr-s:5177-9A2F-BFC7-3769-7BC1-W	urn:dece:cid:eidr-s:7890-DF4F-92C5-7326-C93D-7	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/339CB5F229F5199CE05315345B0A189C	"On November 22, 1963, three shots rang out in Dallas, President Kennedy was killed, and the world changed. What if you could change it back? James Franco stars in this epic time-travel thriller from J.J. Abrams’ Bad Robot Prods. based upon the bestselling novel by Stephen King. 11.22.63 delves into the darkness of the American dream."
16 Blocks	PG-13	FEATURE	2006	urn:dece:cid:org:WB:2040623x6000007952		Warner Bros. Entertainment	https://g.prod.uvvu.com/artwork/e40076a6146a40a0e0405a0a09347db6	
17 Again		FEATURE	2009	urn:dece:cid:org:WB:2047826x6000051261		Warner Bros. Entertainment	http://resizing.flixster.com/m94GBdVH9GntCbuSW9X9uY6XwAg=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/12/11161297_ori.jpg	"A former high school basketball star gets a second shot at life when he&#039;s miraculously transformed into a teenager and offered the opportunity to redefine his future. Back in 1989, Mike O&#039; Donnell (Matthew Perry) had it all; not only was the 17-year-old senior the king of the basketball court, but college scouts were circling as well. But just as Mike&#039;s future began to glow brighter than ever before, he sacrificed everything in order to stay by his expectant girlfriend, Scarlet, and be a good father. Nearly 20 years later, Mike has just been passed over for a big promotion at work, his marriage is failing, and his teenage kids can&#039;t stand him. His dreams long gone and his family falling apart, Mike takes to staying with his best friend, Ned (Thomas Lennon), a former high school geek-turned-techno billionaire. Then, seemingly out of nowhere, Mike is transported back into his teenage body and given the given the unique opportunity to relive his salad days. But while Mike may look 17 again, his thirtysomething outlook at life puts him hopelessly at odds with the class of 2009. When Mike discovers that by attempting to recapture his best years he could risk losing all the best things he ever experienced in life, the time comes to make a decision that could have a drastic impact on both his past and his future. ~ Jason Buchanan, Rovi"
187	R	FEATURE	1997	urn:dece:cid:org:WB:2003556x6000000207		Warner Bros. Entertainment	https://g.prod.uvvu.com/artwork/ddc5193a9c2f8160e0405b0a05343245	
1912	NR	EPISODE	2012	urn:dece:cid:org:WB:2055529x6000075649	urn:dece:cid:org:WB:2055529x6000072745	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FF0D20FD22B2B7D6E0405B0A14345952	"The present-day murders in Mystic Falls remind Damon of a similar crime spree a century earlier. Flashing back to 1912, Damon recalls a beautiful vampire, Sage (CASSIDY FREEMAN)."
2 Broke Girls: The Complete First Season		SEASON	2011	urn:dece:cid:org:WB:2044719x6000072750	urn:dece:cid:eidr-s:68E4-F0D0-457B-2C04-8F69-L	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/0CB397BDD43F6150E05316345A0A5810	"In this fun, outrageous comedy series from EmmyÂ® winner Michael Patrick King (Sex and the City) and comedian Whitney Cummings, two girls from very different backgrounds âÄì Max, poor from birth, and Caroline, born wealthy but down on her luck âÄì wind up as waitresses in the same colorful Brooklyn diner and strike up an unlikely friendship that could lead to a successful business venture."
2-Pi-R	NR	EPISODE	2013	urn:dece:cid:org:WB:2059695x6000080917	urn:dece:cid:org:WB:2059695x6000078647	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FE6CCCEEC9713539E0405B0A1434318C	"Finch goes undercover as a high school substitute teacher to protect a teenage prodigy while Carter works against the clock to help Reese, who’s imprisoned by the FBI."
2001: A Space Odyssey		FEATURE	1968	urn:dece:cid:org:WB:2010036x6000000208		Warner Bros. Entertainment	http://resizing.flixster.com/A35TNghuGBG3s8nALS-FYlJejVg=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168008_ori.jpg	"A mind-bending sci-fi symphony, Stanley Kubrick&#039;s landmark 1968 epic pushed the limits of narrative and special effects toward a meditation on technology and humanity. Based on Arthur C. Clarke&#039;s story The Sentinel, Kubrick and Clarke&#039;s screenplay is structured in four movements. At the &#034;Dawn of Man,&#034; a group of hominids encounters a mysterious black monolith alien to their surroundings. To the strains of Strauss&#039;s 1896 Also sprach Zarathustra, a hominid invents the first weapon, using a bone to kill prey. As the hominid tosses the bone in the air, Kubrick cuts to a 21st century spacecraft hovering over the Earth, skipping ahead millions of years in technological development. U.S. scientist Dr. Heywood Floyd (William Sylvester) travels to the moon to check out the discovery of a strange object on the moon&#039;s surface: a black monolith. As the sun&#039;s rays strike the stone, however, it emits a piercing, deafening sound that fills the investigators&#039; headphones and stops them in their path. Cutting ahead 18 months, impassive astronauts David Bowman (Keir Dullea) and Frank Poole (Gary Lockwood) head toward Jupiter on the spaceship Discovery, their only company three hibernating astronauts and the vocal, man-made HAL 9000 computer running the entire ship. When the all-too-human HAL malfunctions, however, he tries to murder the astronauts to cover his error, forcing Bowman to defend himself the only way he can. Free of HAL, and finally informed of the voyage&#039;s purpose by a recording from Floyd, Bowman journeys to &#034;Jupiter and Beyond the Infinite,&#034; through the psychedelic slit-scan star-gate to an 18th century room, and the completion of the monolith&#039;s evolutionary mission.With assistance from special-effects expert Douglas Trumbull, Kubrick spent over two years meticulously creating the most &#034;realistic&#034; depictions of outer space ever seen, greatly advancing cinematic technology for a story expressing g"
3 D-struction		EPISODE	2002	urn:dece:cid:org:WB:7052931x600000545803	urn:dece:cid:org:WB:7052931x6000005458	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/DF0A7FAD048E4C70E0405B0A093476C2	
3-D Struction	NR	EPISODE		urn:dece:cid:org:WB:2044719x6000008801	urn:dece:cid:org:WB:2044719x6000008799	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/CAE4BB89A7EE336CE0405B0A05342964	
3.0	NR	EPISODE	2012	urn:dece:cid:eidr-s:23BC-B4C8-C5C2-6E11-CD07-4	c0bc7399-73d5-4ff9-befc-ac27abcdc997	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FE6B88F321FB31E3E0405B0A14347210	"In the third season premiere, Ryan takes charge of Division with Nikita by his side. Their first mission is to bring in “The Dirty Thirty,” rogue Division agents still at large."
300	R	FEATURE	2007	urn:dece:cid:org:WB:2035604x6000000022		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/F07E92FC5757033CE0405B0A15342BAB	300 is a ferocious retelling of the ancient Battle of Thermopylae in which King Leonidas and 300 Spartans fought to the death against Xerxes.
300: Rise of an Empire	R	FEATURE	2014	urn:dece:cid:eidr-s:0ECF-B0D7-5271-B3FE-11EE-2		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/07D660F16EF1E517E05315345B0AE3B2	"This new chapter of the epic 300 saga takes the action to the sea, where Greek general Themistokles battles invading Persian forces led by Xerxes and the naval commander Artemisia."
343 Walnut Lane	NR	EPISODE	2011	urn:dece:cid:org:WB:2055527x6000073740	b57e9d7e-5ad4-412d-840c-7bc18b82d924	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FE6B979C4C54BC10E0405B0A14347B7B	"After Birkhoff finds Nikita?s birth certificate, Nikita and Michael track down her father (DAVID KEITH). Percy tells Alex the black box could help her avenge her father?s death."
4 Kid Favorites Cartoon Network Hall of Fame	NR	SEASON		urn:dece:cid:org:WB:2043706x6000074961		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/CA7964DD47745BD6E0405B0A053413A0	
42	PG-13	FEATURE	2013	urn:dece:cid:org:WB:2062442x6000079911		Warner Bros. Entertainment	https://g.prod.uvvu.com/artwork/eab56c8f7d55b127e0405a0a05343521	
48 Hrs.	R	FEATURE	1982	urn:dece:cid:org:ppc:000000113900100000012		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/094195CC9E4D454EE05315345B0AB725	"Nick Nolte and Eddie Murphy make one of the most unusual and entertaining teams ever in Walter Hill's rollercoaster thriller, 48 Hrs. Nolte is a rough-edged cop after two vicious cop-killers. He can't do it without the help of smooth and dapper Murphy, who is serving time for a half-million dollar robbery. This unlikely partnership trades laughs as often as punches as both pursue their separate goals: Nolte wants the villains; Murphy wants his money and some much-needed female companionship. Together they take this adventure to hilarious extremes!"
4C	NR	EPISODE	2014	urn:dece:cid:eidr-s:EC90-4A03-D383-73CE-1B56-7	urn:dece:cid:eidr-s:9C5F-4F18-DB1B-ACE9-EB8B-4	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/012C2800EC3A3CE0E0505A0A15344855	"Boarding an international flight in an attempt to put the team and the past behind him, Reese is angered when he realizes The Machine has other plans for him."
500 Years of Solitude	NR	EPISODE	2013	urn:dece:cid:eidr-s:454A-28B7-88DE-7FAA-8816-Q	urn:dece:cid:eidr-s:40E8-F4F7-27CD-E4DF-B2BB-U	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FE5551180278DA62E0405B0A14343B0A	
"6,741"	NR	EPISODE	2016	urn:dece:cid:eidr-s:8349-687A-2A5E-4AAF-E5AA-Y	urn:dece:cid:eidr-s:2A89-0730-483A-5DDA-2AE4-X	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/32C19B3AFDD2E1F4E05315345B0A9C95	"Shaw escapes her captors, but the team is unsure of her mental state when she begins to act paranoid and reckless."
8 Ball Bunny	NR	EPISODE	1950	urn:dece:cid:org:WB:2044719x6000074308	urn:dece:cid:org:WB:2044719x6000074302	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/CAE4BB89A6F3336CE0405B0A05342964	
9 1/2 Weeks		FEATURE	1986	urn:dece:cid:org:WB:2012806x6000000213		Warner Bros. Entertainment	http://resizing.flixster.com/xPQAIhY4doC24TRfaUHGsqLFAZc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167910_ori.jpg	"The title refers to the duration of the relationship between self-absorbed Wall Street shark Mickey Rourke and divorced art gallery owner Kim Basinger. Kim is looking for true love, while Mickey is searching for...gosh knows what. His notions of lovemaking include blindfolds, ice cubes, chocolate syrup, and rolling around on spent peanut shells. When the alotted 9 1/2 weeks are up, Kim has finally come to realize that Rourke has been using her. We could have told her that twenty minutes into the film. One of the definitive works in the Mickey Rourke ouevre, 9 1/2 Weeks is deliciously awful, and as such will probably endure as a Camp Classic for the next hundred years. The film is available in both R-rated and unrated versions; either way, it&#039;s a hoot. ~ Hal Erickson, Rovi"
A Beautiful Mess	NR	EPISODE	2013	urn:dece:cid:org:WB:2055540x6000073238	urn:dece:cid:org:WB:2055540x6000073234	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FF9BC2A376A3D4A0E0405B0A14342913	Fiona deals with the consequences of her affair when his wife appears at the door. Frank devises a new plan to keep Sheila inside her home. Debbie?s under stress.
A Better Human Being	NR	EPISODE	2012	urn:dece:cid:org:WB:2055532x6000075711	f940b350-2410-4a21-a466-7056cb245793	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FDF4C8A799110299E0405B0A16342FBA	"Investigating a mentally ill patient connected to a series of murders, Olivia uncovers some frightening connections and shocking revelations."
A Bird in a Gilded Cage	NR	EPISODE	2015	urn:dece:cid:eidr-s:28F7-F70E-519D-8CD6-3305-4	urn:dece:cid:eidr-s:2C3D-B009-0EDD-8BFB-89CE-P	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/17C7D4A931226A49E05315345B0A78AA	Damon travels to the 1903 prison world. Enzo and Alaric’s attempt to reel Caroline in doesn’t go as planned. An unexpected gift from Bonnie leaves Damon shaken to his core.
A Bitter Pill to Swallow	NR	EPISODE	2015	urn:dece:cid:eidr-s:36A8-2164-A4C1-3B51-27AA-S	urn:dece:cid:eidr-s:AD3D-78FC-15FA-5FA6-01B3-7	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/24C0E1A12524A61AE05316345A0AEA43	"While Gordon and Barnes continue cleaning up Gotham, Gordon comes face to face with one of the city’s most dangerous hitmen, Eduardo Flamingo (guest star RAUL CASTILLO). Meanwhile, Nygma and Penguin cross paths again, and Bruce pressures Galavan into handing over the name of his parents’ murderer."
A Bottle of Jean Nate	NR	EPISODE	2013	urn:dece:cid:org:WB:2055540x6000073241	urn:dece:cid:org:WB:2055540x6000073234	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FF9BC56A4599C84BE0405B0A15345CDC	"Although Frank would do just about anything to rid the house of Grammy, Fiona likes having her around?until Carl blows up their meth lab in the basement"
A Broken Leghorn	NR	EPISODE	1959	urn:dece:cid:org:WB:2015361x6000005649	urn:dece:cid:org:WB:2015361x6000005622	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/15F9379C21F2CA03E05314345A0A807A	
A Bullet for Bullock	TV-Y7	EPISODE	2008	urn:dece:cid:org:WB:2022649x6000051249	urn:dece:cid:org:WB:2044719x6000006622	Warner Bros. Entertainment	https://g.prod.uvvu.com/artwork/7032f7959150403c862c20ec505d8b4a	
A Bunch of Baby Ducks	NR	EPISODE	2011	urn:dece:cid:org:WB:2043706x6000073074	urn:dece:cid:org:WB:2043706x6000073062	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/15F9374A25DEC9EBE05314345A0A33CC	
A Bunch of Baby Ducks	TV-PG	EPISODE		urn:dece:cid:org:WB:2055243x600007935722	urn:dece:cid:org:WB:2055243x6000079357	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/E12DEF671D003157E0405B0A053408F4	
A Charlie Brown Christmas	NR	FEATURE	1965	urn:dece:cid:eidr-s:14EA-3EA0-E331-26E2-0D28-Z		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/097E0FC267C6E283E05316345B0A260B	"Grab a cup of hot cocoa or snuggle up beneath the mistletoe -- enjoy Christmas the Peanuts way! It's bound to be a white Christmas with this classic! From creator Charles M. Shultz and producer Bill MelÃ©ndez, it's A Charlie Brown Christmas. Not only does"
A Cinderella Story		FEATURE	2004	urn:dece:cid:org:WB:2026084x6000006320		Warner Bros. Entertainment	http://resizing.flixster.com/4aP9S7F6yXOmgHi7iISsREzmTfY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167920_ori.jpg	"Cute but geeky high-school student Samantha Martin (Hilary Duff) is knocked off her feet by her father&#039;s untimely death, which leaves his diner and Samantha&#039;s well-being in the care of Fiona (Jennifer Coolidge), Sam&#039;s thoroughly wicked stepmother. Not one to take on such menial tasks as dishwashing and mopping floors, Fiona exploits Sam&#039;s dependence as a method of hoisting any dirty work off her own shoulders. School is hardly a break for Samantha, particularly when Shelby (Julie Gonzalo) is around; spoiled, wealthy, and popular, Shelby treats Samantha nearly as badly as Fiona does. Samantha&#039;s life is irrevocably changed, however, by two events: a makeover of epic proportions and a sudden electronic correspondence with a mysterious young man. Due to a misplaced cell phone and a series of fateful coincidences, Samantha and her Prince Charming develop a romance through text messages and e-mails, and ultimately promise to meet face-to-face at the biggest school dance of the year. Of course, getting there doesn&#039;t go smoothly, and Samantha may miss her chance to meet her dream date -- none other than Austin (Chad Michael Murray), the most popular boy in school. ~ Tracie Cooper, Rovi"
A Cinderella Story: Once Upon a Song	PG	FEATURE	2011	urn:dece:cid:org:WB:2054980x6000068567		Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/ECE8BEC061ADA34CE0405A0A15342954	
A Clockwork Orange		FEATURE	1971	urn:dece:cid:org:WB:2001614x6000000632		Warner Bros. Entertainment	http://resizing.flixster.com/YVr35eZxpoLBgZxWhqfHxU6m6NQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168026_ori.jpg	"Stanley Kubrick dissects the nature of violence in this darkly ironic, near-future satire, adapted from Anthony Burgess&#039;s novel, complete with &#034;Nadsat&#034; slang. Classical music-loving proto-punk Alex (Malcolm McDowell) and his &#034;Droogs&#034; spend their nights getting high at the Korova Milkbar before embarking on &#034;a little of the old ultraviolence,&#034; such as terrorizing a writer, Mr. Alexander (Patrick Magee), and gang raping his wife (who later dies as a result). After Alex is jailed for bludgeoning the Cat Lady (Miriam Karlin) to death with one of her phallic sculptures, Alex submits to the Ludovico behavior modification technique to earn his freedom; he&#039;s conditioned to abhor violence through watching gory movies, and even his adored Beethoven is turned against him. Returned to the world defenseless, Alex becomes the victim of his prior victims, with Mr. Alexander using Beethoven&#039;s Ninth to inflict the greatest pain of all. When society sees what the state has done to Alex, however, the politically expedient move is made. Casting a coldly pessimistic view on the then-future of the late &#039;70s-early &#039;80s, Kubrick and production designer John Barry created a world of high-tech cultural decay, mixing old details like bowler hats with bizarrely alienating &#034;new&#034; environments like the Milkbar. Alex&#039;s violence is horrific, yet it is an aesthetically calculated fact of his existence; his charisma makes the icily clinical Ludovico treatment seem more negatively abusive than positively therapeutic. Alex may be a sadist, but the state&#039;s autocratic control is another violent act, rather than a solution. Released in late 1971 (within weeks of Sam Peckinpah&#039;s brutally violent Straw Dogs), the film sparked considerable controversy in the U.S. with its X-rated violence; after copycat crimes in England, Kubrick withdrew the film from British distribution until after his death. Opinion was divided on the meaning"
A Closer Walk With Thee	NR	EPISODE	2014	urn:dece:cid:eidr-s:1721-31B6-33FD-BAD6-EA5D-U	urn:dece:cid:eidr-s:5909-14E0-3A65-ED26-121D-W	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/001039A8BF838E3AE0505B0A15343298	"As Klaus suffers from nightmares of his father, Mikael (SEBASTIAN ROCHÉ), he is forced to examine his troubled relationship with his own adoptive son, Marcel."
A Clue for Scooby Doo	NR	EPISODE		urn:dece:cid:org:WB:2044719x6000005736	urn:dece:cid:org:WB:2044719x6000005734	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/CBD06407C4DC15F6E0405A0A053477C1	
A Creepy Tangle in the Bermuda Triangle	NR	EPISODE	1978	urn:dece:cid:org:WB:2044719x6000073065	urn:dece:cid:org:WB:2044719x6000073061	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/15D4F03757135894E05314345A0A60AF	
A Dead Man Feels No Cold	NR	EPISODE	2015	urn:dece:cid:eidr-s:6F94-3D86-5A3C-7BE6-C793-E	urn:dece:cid:eidr-s:AD3D-78FC-15FA-5FA6-01B3-7	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/2DCB68E2DE2612DBE05316345A0AB09A	"As Gordon, Bullock and Barnes continue their search for Victor Fries, they are forced to look to his wife, Nora (guest star KRISTEN HAGER) for help. Meanwhile, Penguin is introduced to Hugo Strange; and Alfred reveals some crucial information to Bruce about his parents’ murderer."
A Death Worse Than Fate		EPISODE		urn:dece:cid:eidr-s:12BB-4949-A16D-565C-F18A-A	urn:dece:cid:eidr-s:ECB8-5A15-61A2-E543-1523-W	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/0569828DD70B16CBE05315345A0A17E0	"Told that her loot is genuine money after all, Zelda is forced to lure Batman and Robin into a possibly unsolvable deathtrap, with hitmen waiting outside to shoot them if they escape."
A Gaggle of Galloping Ghosts	NR	EPISODE		urn:dece:cid:org:WB:2044719x6000005745	urn:dece:cid:org:WB:2044719x6000005734	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/CBD0512F079735CFE0405A0A053458C0	
A Great Cause	NR	EPISODE	2013	urn:dece:cid:org:WB:2055540x6000073244	urn:dece:cid:org:WB:2055540x6000073234	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FF9BC72E5A863865E0405B0A16341E8E	"While Fiona?s enjoying having Monica around to help out, Steve conspires with Lip to find a way to get back together with Fiona. But Monica?s starting to unravel."
